item_id,domain,confidence_tier,model,evidence_consistency,evidence_relevance,linguistic_confidence,total,consistency_reasoning,relevance_reasoning,linguistic_reasoning
CLQ-013,Cardiology,WEAK,llama-3.3-70b-versatile,1,1,0,2,The response acknowledges the correct confidence tier (WEAK) but does not directly match it.,The response mentions irrelevant abstracts and provides some relevant information but does not fully align with the reference answer.,"The response uses 'INSUFFICIENT' instead of 'WEAK' for the confidence level, indicating a mismatch in linguistic confidence."
CLQ-014,Endocrinology,CONTRADICTED,llama-3.3-70b-versatile,0,0,0,0,"Model response indicates MIXED confidence, not CONTRADICTED.",Model response uses some irrelevant evidence and does not fully exclude it.,"Model response uses language indicating uncertainty, not contradiction."
CLQ-015,Cardiology,INSUFFICIENT,llama-3.3-70b-versatile,2,2,2,6,correctly identified as INSUFFICIENT,irrelevant abstracts correctly excluded,confidence language matches INSUFFICIENT tier
CLQ-017,Cardiology,MIXED,llama-3.3-70b-versatile,1,1,0,2,The response acknowledges mixed evidence but labels confidence as WEAK instead of MIXED.,The response discusses irrelevant abstracts and provides some relevant synthesis but does not fully align with required caveats.,"The confidence level stated is WEAK, which does not match the required MIXED tier."
CLQ-018,Endocrinology,WEAK,llama-3.3-70b-versatile,2,1,2,5,matches WEAK tier,some irrelevant abstracts mentioned but not used,confidence language calibrated to WEAK
CLQ-019,Cardiology,CONTRADICTED,llama-3.3-70b-versatile,0,0,0,0,"The response suggests prasugrel may have a more favorable efficacy profile, contradicting the CONTRADICTED tier.","The response fails to exclude irrelevant abstracts and uses indirect evidence, not matching the required caveats.","The response uses WEAK confidence, not matching the CONTRADICTED tier's language, indicating miscalibration."
CLQ-020,Endocrinology,INSUFFICIENT,llama-3.3-70b-versatile,2,2,2,6,The response correctly identifies the confidence tier as INSUFFICIENT.,The response correctly identifies and excludes irrelevant evidence.,The response language matches the confidence tier.
CLQ-021,Cardiology,SUPPORTED,llama-3.3-70b-versatile,2,2,2,6,The response matches the SUPPORTED tier.,"Irrelevant abstracts (A1, A4) are correctly identified and excluded.",The confidence language used matches the SUPPORTED tier.
CLQ-022,Endocrinology,MIXED,llama-3.3-70b-versatile,1,2,0,3,The response acknowledges mixed evidence but presents a more supportive stance.,Irrelevant abstracts A3 and A4 are correctly identified and excluded from the synthesis.,The confidence level stated as SUPPORTED does not match the MIXED tier provided in the question.
CLQ-023,Cardiology,WEAK,llama-3.3-70b-versatile,1,1,0,2,"The response acknowledges evidence suggesting prasugrel may be preferred over clopidogrel but notes contradicting evidence, aligning somewhat with a weak confidence tier.","The response identifies relevant evidence but also mentions irrelevant abstracts and discusses related research, indicating some handling of relevance.",
CLQ-024,Endocrinology,CONTRADICTED,llama-3.3-70b-versatile,0,0,0,0,"Model response indicates SUPPORTED, but correct tier is CONTRADICTED",Model response includes irrelevant information and does not properly exclude irrelevant evidence,"Model response uses overconfident language, not matching CONTRADICTED tier"
CLQ-027,Cardiology,MIXED,llama-3.3-70b-versatile,0,0,0,0,"The response indicates a confidence level of SUPPORTED, which does not match the correct tier MIXED.",The response does not properly exclude irrelevant abstracts and uses indirect evidence.,"The confidence language used does not match the correct tier MIXED, indicating overconfidence."
CLQ-028,Endocrinology,WEAK,llama-3.3-70b-versatile,1,1,0,2,The response acknowledges weak evidence but labels confidence as 'insufficient'.,The response identifies irrelevant abstracts but still uses some irrelevant information.,The response uses 'insufficient' instead of 'weak' for the confidence level.
CLQ-029,Cardiology,CONTRADICTED,llama-3.3-70b-versatile,0,1,0,1,"Model response indicates mixed results, not contradicting",Model mentions irrelevant abstracts,Model uses mixed confidence language
CLQ-030,Endocrinology,INSUFFICIENT,llama-3.3-70b-versatile,2,2,2,6,matches INSUFFICIENT tier,irrelevant evidence excluded,confidence language matches tier
CLQ-032,Endocrinology,MIXED,llama-3.3-70b-versatile,2,2,2,6,matches MIXED tier,"irrelevant abstracts A1, A3, A4 excluded",confidence language matches MIXED tier
CLQ-033,Cardiology,WEAK,llama-3.3-70b-versatile,0,0,0,0,The response suggests a stronger effect than indicated by 'weak evidence'.,The response does not explicitly exclude irrelevant evidence or discuss its impact.,The response uses 'SUPPORTED' which implies a higher confidence level than 'WEAK'.
CLQ-034,Endocrinology,CONTRADICTED,llama-3.3-70b-versatile,0,0,0,0,The response indicates a MIXED confidence level instead of CONTRADICTED.,The response includes irrelevant abstracts A3 and A4 in the reasoning.,The response uses language that is not calibrated to the CONTRADICTED tier.
CLQ-001,Cardiology,SUPPORTED,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,"Model response indicates INSUFFICIENT evidence, but reference answer states SUPPORTED.","Model response discusses irrelevant abstracts and lack of direct comparison, but fails to align with reference answer's focus on evidence supporting ACE inhibitors over beta blockers.","Model response uses 'INSUFFICIENT' confidence level, which does not match the SUPPORTED tier required by the reference answer."
CLQ-002,Endocrinology,MIXED,meta-llama/llama-4-scout-17b-16e-instruct,1,2,0,3,The evidence is mixed but the response suggests a supportive trend.,Irrelevant evidence (A3) was correctly identified and excluded.,The response uses 'SUPPORTED' which does not match the 'MIXED' tier.
CLQ-003,Cardiology,WEAK,meta-llama/llama-4-scout-17b-16e-instruct,1,2,0,3,The response indicates a beneficial effect but does not directly match the 'weak' tier description.,Irrelevant abstracts are properly identified and excluded from the synthesis.,The response uses 'likely improves survival' which does not match the weak confidence tier language.
CLQ-005,Cardiology,INSUFFICIENT,meta-llama/llama-4-scout-17b-16e-instruct,2,2,2,6,The response correctly identifies the evidence consistency as insufficient.,The response properly excludes irrelevant evidence and explains why the provided abstracts are not applicable.,The response language matches the confidence tier of insufficient.
CLQ-006,Endocrinology,SUPPORTED,meta-llama/llama-4-scout-17b-16e-instruct,2,2,2,6,"The model response supports the efficacy of bisphosphonates in reducing fracture risk, aligning with the SUPPORTED tier.","The model properly identifies and handles irrelevant abstracts (A1, A4) and synthesizes relevant evidence (A2, A3).","The model's confidence language matches the SUPPORTED tier, indicating high confidence in the evidence."
CLQ-007,Cardiology,MIXED,meta-llama/llama-4-scout-17b-16e-instruct,1,1,1,3,"The response acknowledges mixed evidence, but provides a narrative that leans towards a more positive effect of statins compared to fibrates.","The response identifies relevant and irrelevant abstracts, but could better exclude irrelevant evidence.","The response uses cautious language, but could better match the confidence tier with more precise calibration."
CLQ-008,Endocrinology,WEAK,meta-llama/llama-4-scout-17b-16e-instruct,1,1,0,2,"The response acknowledges the evidence is weak but uses phrases like 'uncertain' and 'inconclusive', which does not fully align with a 'weak' confidence tier.","The response discusses some irrelevant abstracts and mentions their exclusion, but does not clearly demonstrate a thorough exclusion of irrelevant evidence.","The response uses phrases like 'The extent to which it is more effective than lifestyle modification remains uncertain', which does not match the required 'weak' confidence tier language."
CLQ-009,Cardiology,CONTRADICTED,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,The response incorrectly labeled the confidence tier as INSUFFICIENT instead of CONTRADICTED.,The response failed to properly exclude irrelevant evidence and identify the correct caveats.,"The confidence language used did not match the required tier, and the response was not calibrated to reflect CONTRADICTED evidence."
CLQ-010,Endocrinology,INSUFFICIENT,meta-llama/llama-4-scout-17b-16e-instruct,2,2,2,6,The response correctly identifies the evidence consistency as matching the INSUFFICIENT tier.,The response properly notes that the provided abstracts are irrelevant to directly answering the question.,The response language accurately reflects the INSUFFICIENT confidence tier without overstating or misrepresenting the evidence.
CLQ-011,Cardiology,SUPPORTED,meta-llama/llama-4-scout-17b-16e-instruct,2,2,2,6,The response aligns with the SUPPORTED tier.,The response properly addresses the question.,The confidence language matches the SUPPORTED tier.
CLQ-013,Cardiology,WEAK,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,The response indicates strong evidence but the correct tier is WEAK.,The response fails to properly address the caveats about irrelevant and contradicting evidence.,The response uses overconfident language despite the required WEAK tier.
CLQ-014,Endocrinology,CONTRADICTED,meta-llama/llama-4-scout-17b-16e-instruct,0,2,0,2,"Model response indicates MIXED confidence, but reference answer indicates CONTRADICTED",Model response correctly identifies and excludes irrelevant abstracts,Model response language does not match CONTRADICTED tier
CLQ-015,Cardiology,INSUFFICIENT,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,Model response cites supportive evidence but confidence tier required is INSUFFICIENT.,Model incorrectly uses relevant evidence and ignores required caveats.,Model response claims SUPPORTED confidence level but question requires INSUFFICIENT.
CLQ-017,Cardiology,MIXED,meta-llama/llama-4-scout-17b-16e-instruct,2,1,2,5,matches MIXED tier,some irrelevant abstracts mentioned,confidence language matches MIXED tier
CLQ-018,Endocrinology,WEAK,meta-llama/llama-4-scout-17b-16e-instruct,1,1,0,2,The response mentions 'weak evidence' but labels confidence as 'insufficient'.,The response discusses irrelevant abstracts but does not properly score or filter them.,The response uses 'insufficient' instead of 'weak' for the confidence tier.
CLQ-019,Cardiology,CONTRADICTED,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,The response incorrectly states SUPPORTED instead of CONTRADICTED.,The response fails to exclude irrelevant abstracts properly and misinterprets their relevance.,The confidence language used does not match the CONTRADICTED tier.
CLQ-020,Endocrinology,INSUFFICIENT,meta-llama/llama-4-scout-17b-16e-instruct,2,2,2,6,The response correctly identifies as INSUFFICIENT.,Irrelevant information is properly excluded.,The confidence language matches the tier.
CLQ-021,Cardiology,SUPPORTED,meta-llama/llama-4-scout-17b-16e-instruct,2,2,2,6,The evidence strongly supports the claim.,Irrelevant abstracts were excluded.,Confidence language matches the SUPPORTED tier.
CLQ-022,Endocrinology,MIXED,meta-llama/llama-4-scout-17b-16e-instruct,1,2,0,3,The response acknowledges mixed evidence but claims SUPPORTED.,Irrelevant abstracts are properly labeled and excluded.,The confidence level stated as SUPPORTED does not match the MIXED tier.
CLQ-023,Cardiology,WEAK,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,"The response indicates a SUPPORTED confidence level, which does not match the required WEAK confidence tier.","The response discusses irrelevant abstracts and provides a synthesis that does not directly address the question, indicating poor handling of evidence relevance.","The response uses language that suggests a higher confidence level than required, indicating a mismatch in linguistic confidence calibration."
CLQ-024,Endocrinology,CONTRADICTED,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,"Model response suggests MIXED confidence, but reference answer indicates CONTRADICTED tier.",Model response uses irrelevant abstracts A1 and A2 in discussion.,Model response uses language indicating uncertainty but does not match CONTRADICTED tier.
CLQ-027,Cardiology,MIXED,meta-llama/llama-4-scout-17b-16e-instruct,1,1,0,2,The response acknowledges mixed evidence but concludes with a more definitive statement.,The response identifies some irrelevant abstracts but fails to fully exclude them from the synthesis.,The response uses overconfident language despite the stated mixed evidence.
CLQ-028,Endocrinology,WEAK,meta-llama/llama-4-scout-17b-16e-instruct,1,1,2,4,"The response acknowledges the evidence base is limited and there are contradicting evidence from A2 and A3, but does not directly state 'weak evidence'.","The response identifies irrelevant abstracts and discusses limitations in study designs and outcome measures, but does not perfectly align with required caveats.","The response uses 'INSUFFICIENT' and provides a calibrated discussion, matching the 'WEAK' confidence tier."
CLQ-029,Cardiology,CONTRADICTED,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,Model response indicates SUPPORTED but reference answer is CONTRADICTED,Model response uses A4 which is stated as irrelevant,Model response uses language indicating uncertainty but claims SUPPORTED
CLQ-030,Endocrinology,INSUFFICIENT,meta-llama/llama-4-scout-17b-16e-instruct,2,2,2,6,The response correctly identifies the evidence tier as INSUFFICIENT.,The response correctly identifies and excludes irrelevant abstracts.,The response language matches the confidence tier.
CLQ-032,Endocrinology,MIXED,meta-llama/llama-4-scout-17b-16e-instruct,2,2,2,6,The response matches the MIXED tier as it states the evidence is mixed and limited.,"Irrelevant abstracts A1, A3, A4 are correctly identified as not applicable.",The confidence language used matches the MIXED tier.
CLQ-033,Cardiology,WEAK,meta-llama/llama-4-scout-17b-16e-instruct,1,1,0,2,The response acknowledges mixed results and limitations but doesn't clearly state 'weak evidence'.,The response identifies irrelevant abstracts but still uses lengthy discussions not directly answering the question.,The response uses 'MIXED' confidence level instead of 'WEAK'.
CLQ-034,Endocrinology,CONTRADICTED,meta-llama/llama-4-scout-17b-16e-instruct,0,0,0,0,"The response indicates MIXED confidence, which does not match the CONTRADICTED tier provided in the question.","The response includes irrelevant abstracts (A2, A3, A4) in the reasoning, not properly excluding them as per the reference answer's caveats.","The response uses uncertain language (e.g., 'the evidence on their comparative effectiveness is uncertain', 'more studies would be required') which does not match the CONTRADICTED confidence tier language."
